team_name,elo_rating
Dziuseppe,1448.1611964776462
X7,1448.055219208317
BASEMENT BOYS,1447.9388660251889
BURN,1447.9161722187694
Eruption,1447.3088693807035
Bushido Wildcats,1446.429897653188
777,1446.408823953567
Insilio,1446.1462430048316
VP.Prodigy,1443.4173746746249
Akimbo,1443.2713618117807
FURY,1443.000024256246
Change The Game,1442.1015950889177
Animus Victoria,1441.799369674603
Nocturnal,1440.5858020522874
Mythic,1440.5322736425496
WW,1440.3354725315005
seoul,1440.321406889505
Curralzinho,1439.3896118845544
Glitchtech,1436.5101782009772
The Glecs,1435.5849005266045
Dusty Roses,1433.963619924549
shinigami,1433.4839489100725
Vasco,1433.1549105264567
BESTIA Academy,1432.3845006989136
FORZE Reload,1431.7217186229925
NuTorious,1430.5371346170116
Worms,1430.4114188686606
GameHunters,1430.1192336963657
Rebels,1429.0556594921657
Metizport,1428.8557358709834
UnderDogs,1427.6844194141452
Hesta,1426.9765386916515
SPARTA,1424.9457183685702
paiN Academy,1424.75482536766
MINLATE,1424.6887716985275
Wanted Goons,1423.7627928877898
Imperial Valkyries,1423.2537463318304
Black Mold,1421.988839692681
ALGO,1420.3600151404785
Mindfreak,1420.2466549627234
BIG Academy,1420.11359984373
thekillaz fe,1418.349857274884
Homyno,1418.1293735583884
RUSTEC,1417.7388140734408
MIBR Academy,1417.5351814646285
Just Swing,1416.750890868133
BORING PLAYERS,1415.5928251331227
Arrival Seven,1415.5628260889862
Sangal Academy,1414.9137094594043
HyperSpirit,1414.3826875736736
R2,1414.346050051686
Prestige,1414.2358646350133
QUAZAR,1412.7620094515107
MASONIC,1412.122030161875
Little Bocks,1412.100484847693
HAVU,1411.7537439658956
8Sins,1411.554011713071
ARCRED,1410.9869955571385
Famalicão,1409.4306047543676
9z Academy,1406.3998318232057
AKA HERO KAJO,1403.158169085571
MANA,1402.683716727652
LE-LUX,1402.2200651968371
Players,1401.5972187440398
Crashers,1399.676017248655
Young Ninjas,1396.4470128781265
Nexus,1396.0753747560198
IHC,1392.8857793272034
Lazer Cats,1389.1648913267877
Lotus fe,1388.8174305562152
BRUTE,1384.582722211108
NIP Impact,1379.9152202357207
DXA,1378.8343848992404
Lilmix,1376.8311334553368
XI,1376.0033338280991
Underground,1371.505604022342
NomadS,1368.9458832335854
AaB,1367.8351108501563
InControl,1366.1092405907807
Vantage,1365.535745548293
CAPIVARAS,1361.8956176352767
harizma,1353.6729831696316
2070,1349.7352858636561
Tricked,1346.3985354665735
UNiTY,1342.631127485353
MAGICOS,1326.4127971866576
The QUBE,1305.2026185555699
JERSA,1297.6140689113256
ENCE Academy,1285.6257518430693
